rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
8519,4,1098.000000000,30.605010483,1046.750000000,30.663496213,1046.500000000,30.182776546,125580.000000000,3621.933185469,41.250000000,6.184658438,10.000000000,4.082482905,41.250000000,6.184658438,0.000000000,0.000000000,0.000000000,0.000000000,10.000000000,4.082482905,0.046701412,0.003515337
8686,4,1104.000000000,38.148831350,1061.500000000,41.509035161,1059.250000000,39.101364000,127110.000000000,4692.163680009,33.500000000,4.654746681,9.000000000,4.966554809,33.500000000,4.654746681,0.000000000,0.000000000,0.000000000,0.000000000,9.000000000,4.966554809,0.038612278,0.005021161
8852,4,1141.750000000,41.427647773,1098.750000000,35.358874416,1094.500000000,36.665151484,131340.000000000,4399.818178061,34.750000000,5.560275773,8.250000000,1.500000000,34.750000000,5.560275773,0.000000000,0.000000000,0.000000000,0.000000000,8.250000000,1.500000000,0.037550500,0.004187433
9018,4,1143.250000000,29.227555491,1094.000000000,23.706539182,1092.500000000,23.101226519,131100.000000000,2772.147182240,40.000000000,2.828427125,9.250000000,6.800735254,40.000000000,2.828427125,0.000000000,0.000000000,0.000000000,0.000000000,9.250000000,6.800735254,0.043003123,0.004915987
9185,4,1157.750000000,42.002976085,1109.500000000,39.408120990,1109.000000000,36.193922142,133080.000000000,4343.270657005,40.000000000,3.651483717,8.250000000,5.965176723,40.000000000,3.651483717,0.000000000,0.000000000,0.000000000,0.000000000,8.250000000,5.965176723,0.041645469,0.004429537
9351,4,1200.750000000,43.084219849,1145.000000000,36.138621999,1142.000000000,35.317606563,137040.000000000,4238.112787551,42.750000000,8.057087977,13.000000000,2.943920289,42.750000000,8.057087977,0.000000000,0.000000000,0.000000000,0.000000000,13.000000000,2.943920289,0.046318048,0.004382581
9518,4,1212.250000000,11.295279250,1155.500000000,11.269427670,1154.750000000,12.841988423,138570.000000000,1541.038610808,47.750000000,3.403429643,9.000000000,2.943920289,47.750000000,3.403429643,0.000000000,0.000000000,0.000000000,0.000000000,9.000000000,2.943920289,0.046807422,0.004884936
9684,4,1240.000000000,17.663521733,1175.500000000,17.521415468,1174.250000000,18.661457607,140910.000000000,2239.374912783,53.750000000,7.719024118,10.750000000,2.217355783,53.750000000,7.719024118,0.000000000,0.000000000,0.000000000,0.000000000,10.750000000,2.217355783,0.052000686,0.007535687
9850,4,1251.750000000,11.786291472,1190.000000000,13.038404810,1185.750000000,19.737865471,142290.000000000,2368.543856465,52.500000000,4.654746681,9.250000000,1.892969449,52.250000000,4.787135539,0.000000000,0.000000000,0.250000000,0.500000000,9.250000000,1.892969449,0.049338735,0.002863315
10017,4,1283.750000000,35.659267145,1218.500000000,38.863007261,1218.500000000,36.810324639,146220.000000000,4417.238956633,52.000000000,4.898979486,13.250000000,2.217355783,52.000000000,4.898979486,0.000000000,0.000000000,0.000000000,0.000000000,13.250000000,2.217355783,0.050906731,0.004650568
