rate_hz_per_channel,baseline_repeats,baseline_dead_fraction_mean,baseline_dead_fraction_std,baseline_accepted_total_mean,baseline_accepted_total_std,baseline_sent_total_mean,baseline_sent_total_std,baseline_busy_counter_total_mean,baseline_busy_counter_total_std,baseline_full_counter_total_mean,baseline_full_counter_total_std,ring0_repeats,ring0_dead_fraction_mean,ring0_dead_fraction_std,ring0_accepted_total_mean,ring0_accepted_total_std,ring0_sent_total_mean,ring0_sent_total_std,ring0_busy_counter_total_mean,ring0_busy_counter_total_std,ring0_full_counter_total_mean,ring0_full_counter_total_std,ring50_repeats,ring50_dead_fraction_mean,ring50_dead_fraction_std,ring50_accepted_total_mean,ring50_accepted_total_std,ring50_sent_total_mean,ring50_sent_total_std,ring50_busy_counter_total_mean,ring50_busy_counter_total_std,ring50_full_counter_total_mean,ring50_full_counter_total_std,rate_khz_per_channel,delta_ring0_vs_baseline_pct,delta_ring50_vs_baseline_pct,delta_ring50_vs_ring0_pct
7842,1,0.125,0.0,28.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,3,0.1294336666666666,0.0075482385583216,226.33333333333337,7.094598884597588,215.66666666666663,8.32666399786453,29.0,2.0,4.666666666666667,0.5773502691896258,3,0.1075169999999999,0.0080376431869049,232.0,5.5677643628300215,221.66666666666663,5.507570547286102,23.0,2.6457513110645907,5.0,1.0,7.842,0.4433666666666607,-1.7483000000000093,-2.19166666666667
8526,1,0.137931,0.0,25.0,0.0,26.0,0.0,3.0,0.0,1.0,0.0,3,0.144022,0.0128797400206681,233.66666666666663,3.2145502536643185,224.0,9.539392014169456,33.666666666666664,2.309401076758503,5.666666666666667,1.5275252316519463,3,0.1183779999999999,0.0197007974204091,240.66666666666663,5.131601439446884,231.33333333333337,11.150485789118488,26.333333333333332,4.041451884327381,6.0,2.0,8.526,0.6091000000000015,-1.9553000000000083,-2.56440000000001
9211,1,0.173913,0.0,19.0,0.0,22.0,0.0,4.0,0.0,0.0,0.0,3,0.1433286666666667,0.0272668717372076,259.3333333333333,20.008331597945222,246.0,19.519221295943137,36.0,9.539392014169456,7.666666666666667,4.509249752822894,3,0.1254996666666666,0.0272034696377747,264.6666666666667,19.03505538035898,251.0,18.0,30.0,9.539392014169456,8.333333333333334,5.507570547286102,9.211,-3.0584333333333316,-4.841333333333342,-1.7829000000000104
9895,1,0.181818,0.0,27.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,3,0.166619,0.0136703361699703,271.6666666666667,3.0550504633038935,259.6666666666667,5.507570547286102,46.666666666666664,4.932882862316248,7.666666666666667,0.5773502691896258,3,0.1390296666666666,0.0086965949850118,280.6666666666667,1.5275252316519463,269.0,5.196152422706632,37.333333333333336,3.7859388972001824,8.0,1.0,9.895,-1.5198999999999998,-4.278833333333338,-2.7589333333333386
10579,1,0.111111,0.0,32.0,0.0,26.0,0.0,4.0,0.0,0.0,0.0,3,0.1618376666666666,0.0202937969422514,271.3333333333333,14.571661996262929,262.6666666666667,11.015141094572204,43.0,2.6457513110645907,9.666666666666666,3.7859388972001824,3,0.1359336666666666,0.0178988622636561,279.6666666666667,13.05118130030126,271.3333333333333,9.504384952922168,35.0,2.6457513110645907,9.333333333333334,3.214550253664318,10.579,5.0726666666666596,2.482266666666659,-2.5904000000000007
11263,1,0.219512,0.0,32.0,0.0,30.0,0.0,8.0,0.0,0.0,0.0,3,0.1620576666666666,0.0223963637748035,284.3333333333333,10.692676621563626,278.6666666666667,13.576941236277534,45.666666666666664,9.237604307034012,9.333333333333334,1.5275252316519468,3,0.144167,0.0191281029901033,290.3333333333333,6.429100507328637,285.3333333333333,10.016652800877813,39.0,9.0,10.0,1.7320508075688772,11.263,-5.745433333333342,-7.534500000000001,-1.7890666666666597
11947,1,0.128205,0.0,34.0,0.0,33.0,0.0,4.0,0.0,1.0,0.0,3,0.1606146666666666,0.0087164720118482,321.3333333333333,27.64657905299195,310.6666666666667,18.583146486355137,50.333333333333336,4.725815626252609,11.0,5.5677643628300215,3,0.1360883333333333,0.0059175363398405,330.6666666666667,27.30079363925769,320.6666666666667,17.67295485574875,40.666666666666664,5.8594652770823155,11.333333333333334,6.110100926607787,11.947,3.24096666666666,0.7883333333333304,-2.4526333333333294
12632,1,0.193548,0.0,25.0,0.0,31.0,0.0,4.0,0.0,1.0,0.0,3,0.1996,0.0117658060922318,339.6666666666667,19.39931270260195,328.0,16.822603841260722,70.0,15.716233645501712,15.0,5.0,3,0.1697986666666666,0.0112123220312892,352.3333333333333,20.55075018906447,339.6666666666667,17.95364401266031,56.333333333333336,13.576941236277534,16.0,3.605551275463989,12.632,0.6052,-2.374933333333342,-2.9801333333333417
13316,1,0.275,0.0,29.0,0.0,30.0,0.0,9.0,0.0,1.0,0.0,3,0.1883033333333333,0.0122766111909326,347.6666666666667,4.509249752822894,344.0,9.848857801796104,60.0,8.888194417315589,20.666666666666668,3.5118845842842465,3,0.1641906666666666,0.0070592666994053,358.0,2.6457513110645907,354.3333333333333,9.504384952922168,49.0,6.557438524302,21.333333333333332,3.5118845842842465,13.316,-8.669666666666675,-11.080933333333345,-2.4112666666666698
14000,1,0.225,0.0,31.0,0.0,31.0,0.0,7.0,0.0,1.0,0.0,3,0.2150343333333333,0.0071873044553109,349.6666666666667,19.39931270260195,341.0,19.157244060668017,78.0,6.557438524302,17.666666666666668,7.023769168568492,3,0.1786343333333333,0.0140523816605347,365.6666666666667,14.0118997046558,356.3333333333333,14.50287327853806,61.666666666666664,2.8867513459481287,18.0,6.557438524302,14.0,-0.9965666666666699,-4.6365666666666705,-3.6400000000000006
