rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
14010,4,1814.250000000,17.404501333,1603.000000000,11.888369667,1603.750000000,12.789970029,192450.000000000,1534.796403436,190.250000000,9.810708435,21.000000000,3.265986324,190.250000000,9.810708435,0.000000000,0.000000000,0.000000000,0.000000000,21.000000000,3.265986324,0.116416583,0.004981215
14176,4,1814.750000000,40.442345794,1598.250000000,29.713913688,1595.250000000,29.113284482,191430.000000000,3493.594137847,191.250000000,12.867918765,25.250000000,4.112987560,191.250000000,12.867918765,0.000000000,0.000000000,0.000000000,0.000000000,25.250000000,4.112987560,0.119230800,0.006484573
14343,4,1862.000000000,59.121344143,1637.250000000,44.552403601,1636.250000000,45.843029277,196350.000000000,5501.163513294,201.250000000,11.954775894,23.500000000,6.137317547,201.250000000,11.954775894,0.000000000,0.000000000,0.000000000,0.000000000,23.500000000,6.137317547,0.120599401,0.005615908
14509,4,1834.750000000,16.276260832,1613.250000000,18.481973199,1613.250000000,18.025444978,193590.000000000,2163.053397399,196.500000000,14.294521095,25.000000000,4.242640687,196.500000000,14.294521095,0.000000000,0.000000000,0.000000000,0.000000000,25.000000000,4.242640687,0.120715719,0.007846462
14676,4,1868.250000000,27.681221071,1640.500000000,29.726531359,1640.000000000,30.865298746,196800.000000000,3703.835849494,205.500000000,17.253019059,22.250000000,5.852349955,205.500000000,17.253019059,0.000000000,0.000000000,0.000000000,0.000000000,22.250000000,5.852349955,0.121912072,0.008335577
14842,4,1902.750000000,30.966379618,1666.500000000,19.807406022,1665.000000000,21.463146709,199800.000000000,2575.577605121,209.500000000,13.892443989,26.750000000,2.753785274,209.500000000,13.892443989,0.000000000,0.000000000,0.000000000,0.000000000,26.750000000,2.753785274,0.124115516,0.003850677
15008,4,1881.250000000,62.350487836,1654.250000000,39.407063665,1655.750000000,40.227478171,198690.000000000,4827.297380523,205.500000000,22.898325994,21.500000000,5.446711546,205.500000000,22.898325994,0.000000000,0.000000000,0.000000000,0.000000000,21.500000000,5.446711546,0.120460066,0.008322269
15175,4,1932.250000000,15.777093099,1691.750000000,11.086778913,1691.250000000,9.708243919,202950.000000000,1164.989270337,218.500000000,20.760539492,22.000000000,3.741657387,218.500000000,20.760539492,0.000000000,0.000000000,0.000000000,0.000000000,22.000000000,3.741657387,0.124427491,0.008522154
15341,4,1953.500000000,79.139118014,1706.000000000,60.238415207,1703.000000000,57.416606193,204360.000000000,6889.992743102,223.250000000,18.099263337,24.250000000,2.500000000,223.250000000,18.099263337,0.000000000,0.000000000,0.000000000,0.000000000,24.250000000,2.500000000,0.126554993,0.005733455
15508,4,1984.750000000,28.732965968,1748.750000000,28.158776015,1745.000000000,30.199337741,209400.000000000,3623.920528930,210.750000000,4.924428901,25.250000000,5.500000000,210.750000000,4.924428901,0.000000000,0.000000000,0.000000000,0.000000000,25.250000000,5.500000000,0.118921451,0.001983920
