rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
9518,5,1211.200000000,10.059821072,1111.200000000,5.357238094,1109.600000000,7.700649323,86.600000000,7.469939759,13.400000000,3.209361307,86.600000000,7.469939759,0.000000000,0.000000000,0.000000000,0.000000000,13.400000000,3.209361307,0.082535737,0.004849511
9684,5,1239.000000000,15.459624834,1132.000000000,16.852299546,1129.800000000,17.224981858,93.600000000,6.387487769,13.400000000,2.607680962,93.600000000,6.387487769,0.000000000,0.000000000,0.000000000,0.000000000,13.400000000,2.607680962,0.086367001,0.006308313
9850,5,1257.400000000,16.241921069,1148.400000000,13.446189051,1144.800000000,16.976454282,94.600000000,5.899152482,14.400000000,2.302172887,94.600000000,5.899152482,0.000000000,0.000000000,0.000000000,0.000000000,14.400000000,2.302172887,0.086667482,0.004415941
10017,5,1281.600000000,31.253799769,1169.000000000,35.192328710,1167.800000000,33.116461164,95.400000000,6.804410334,17.200000000,3.633180425,95.400000000,6.804410334,0.000000000,0.000000000,0.000000000,0.000000000,17.200000000,3.633180425,0.087951097,0.007098603
10183,5,1299.400000000,40.783575125,1186.000000000,37.596542394,1185.600000000,36.834766186,97.000000000,8.306623863,16.400000000,4.505552130,97.000000000,8.306623863,0.000000000,0.000000000,0.000000000,0.000000000,16.400000000,4.505552130,0.087256968,0.007071038
10350,5,1284.000000000,36.407416827,1176.400000000,34.602023062,1175.200000000,33.040883765,91.000000000,4.690415760,16.600000000,4.098780306,91.000000000,4.690415760,0.000000000,0.000000000,0.000000000,0.000000000,16.600000000,4.098780306,0.083821728,0.001307437
10516,5,1352.200000000,35.527454173,1220.800000000,23.274449510,1218.200000000,23.530830840,109.800000000,10.109401565,21.600000000,5.983310121,109.800000000,10.109401565,0.000000000,0.000000000,0.000000000,0.000000000,21.600000000,5.983310121,0.097021065,0.009040093
10682,5,1370.200000000,31.893573020,1242.400000000,25.125684070,1241.600000000,27.898028604,111.000000000,7.348469228,16.800000000,3.271085447,111.000000000,7.348469228,0.000000000,0.000000000,0.000000000,0.000000000,16.800000000,3.271085447,0.093217009,0.003613837
10849,5,1407.200000000,15.801898620,1275.600000000,15.946786510,1273.400000000,16.592166827,113.600000000,6.503845017,18.000000000,4.847679857,113.600000000,6.503845017,0.000000000,0.000000000,0.000000000,0.000000000,18.000000000,4.847679857,0.093523837,0.003799479
11015,5,1374.000000000,39.376388864,1249.200000000,34.766363054,1249.800000000,33.581244765,106.400000000,7.829431652,18.400000000,4.615192304,106.400000000,7.829431652,0.000000000,0.000000000,0.000000000,0.000000000,18.400000000,4.615192304,0.090806184,0.004172302
11182,5,1432.200000000,23.541452801,1295.600000000,30.262187627,1293.200000000,26.752569970,114.800000000,6.610597552,21.800000000,7.259476565,114.800000000,6.610597552,0.000000000,0.000000000,0.000000000,0.000000000,21.800000000,7.259476565,0.095450840,0.007821885
11348,5,1456.800000000,25.023988491,1305.800000000,24.437675831,1303.800000000,23.889328161,127.400000000,8.561541917,23.600000000,2.880972058,127.400000000,8.561541917,0.000000000,0.000000000,0.000000000,0.000000000,23.600000000,2.880972058,0.103657443,0.005652343
11514,5,1457.400000000,29.381967259,1320.000000000,35.777087640,1319.400000000,37.620473150,116.800000000,13.663820842,20.600000000,5.594640292,116.800000000,13.663820842,0.000000000,0.000000000,0.000000000,0.000000000,20.600000000,5.594640292,0.094342819,0.010811628
11681,5,1521.800000000,43.234245686,1367.000000000,32.771939216,1368.400000000,36.239481232,133.200000000,20.017492350,21.600000000,3.646916506,133.200000000,20.017492350,0.000000000,0.000000000,0.000000000,0.000000000,21.600000000,3.646916506,0.101556901,0.013355664
11847,5,1519.000000000,38.535697736,1365.400000000,35.556996499,1362.000000000,33.354160160,128.600000000,3.847076812,25.000000000,2.738612788,128.600000000,3.847076812,0.000000000,0.000000000,0.000000000,0.000000000,25.000000000,2.738612788,0.101129751,0.001697159
12013,5,1533.000000000,20.359273072,1378.400000000,17.910890542,1378.600000000,18.955210365,127.000000000,6.324555320,27.600000000,3.049590136,127.000000000,6.324555320,0.000000000,0.000000000,0.000000000,0.000000000,27.600000000,3.049590136,0.100839262,0.003599309
12180,5,1565.000000000,16.792855624,1398.200000000,9.257429449,1399.000000000,10.653637876,137.400000000,11.148990986,29.400000000,4.722287581,137.400000000,11.148990986,0.000000000,0.000000000,0.000000000,0.000000000,29.400000000,4.722287581,0.106523525,0.008517585
12346,5,1560.400000000,35.571055649,1397.800000000,19.690099035,1396.800000000,20.825465181,136.200000000,13.881642554,26.400000000,5.770615219,136.200000000,13.881642554,0.000000000,0.000000000,0.000000000,0.000000000,26.400000000,5.770615219,0.104056011,0.008599058
12513,5,1616.400000000,32.230420413,1449.000000000,26.495282599,1447.000000000,24.586581706,141.800000000,17.469974242,25.600000000,8.018728079,141.800000000,17.469974242,0.000000000,0.000000000,0.000000000,0.000000000,25.600000000,8.018728079,0.103497134,0.010043004
12679,5,1624.000000000,54.635153519,1446.400000000,34.442706049,1446.000000000,38.229569707,146.600000000,13.520355025,31.000000000,9.669539803,146.600000000,13.520355025,0.000000000,0.000000000,0.000000000,0.000000000,31.000000000,9.669539803,0.109123893,0.009444409
12845,5,1642.400000000,53.125323528,1463.000000000,48.130032204,1464.800000000,49.317339750,149.200000000,4.604345773,30.200000000,8.899438185,149.200000000,4.604345773,0.000000000,0.000000000,0.000000000,0.000000000,30.200000000,8.899438185,0.109235544,0.004489819
