rate_hz_per_channel,rate_khz_per_channel,baseline_dead_pct_mean,baseline_dead_pct_std,ring_dead_pct_mean,ring_dead_pct_std,baseline_busy_pct_mean,baseline_busy_pct_std,ring_busy_pct_mean,ring_busy_pct_std,baseline_full_pct_mean,baseline_full_pct_std,ring_full_pct_mean,ring_full_pct_std,delta_dead_pct_mean,delta_dead_pct_std,delta_busy_pct_mean,delta_busy_pct_std,delta_full_pct_mean,delta_full_pct_std
7842,7.842,12.5,0.0,10.75169999999999,0.80376431869049,16.0,0.0,10.375939849624062,1.1935720200291389,0.0,0.0,2.2556390977443614,0.45112781954887227,-1.7483000000000093,0.80376431869049,-5.6240601503759375,1.1935720200291389,2.2556390977443614,0.45112781954887227
8526,8.526,13.793099999999999,0.0,11.83779999999999,1.97007974204091,11.538461538461538,0.0,11.383285302593658,1.747025310227974,3.8461538461538463,0.0,2.593659942363112,0.8645533141210373,-1.9553000000000083,1.97007974204091,-0.15517623586788076,1.747025310227974,-1.252493903790734,0.8645533141210373
9211,9.211,17.3913,0.0,12.54996666666666,2.72034696377747,18.181818181818183,0.0,11.952191235059761,3.8005545873185085,0.0,0.0,3.3200531208499338,2.194251214058208,-4.841333333333342,2.72034696377747,-6.229626946758422,3.8005545873185085,3.3200531208499338,2.194251214058208
9895,9.895,18.1818,0.0,13.90296666666666,0.86965949850118,21.73913043478261,0.0,13.878562577447337,1.407412229442447,0.0,0.0,2.973977695167286,0.37174721189591076,-4.278833333333338,0.86965949850118,-7.860567857335273,1.407412229442447,2.973977695167286,0.37174721189591076
10579,10.579,11.1111,0.0,13.59336666666666,1.78988622636561,15.384615384615385,0.0,12.8992628992629,0.9750926207854758,0.0,0.0,3.4398034398034403,1.1847236807116652,2.482266666666659,1.78988622636561,-2.485352485352484,0.9750926207854758,3.4398034398034403,1.1847236807116652
11263,11.263,21.9512,0.0,14.416699999999999,1.91281029901033,26.666666666666668,0.0,13.668224299065422,3.154205607476636,0.0,0.0,3.504672897196262,0.6070271521853542,-7.534500000000001,1.91281029901033,-12.998442367601246,3.154205607476636,3.504672897196262,0.6070271521853542
11947,11.947,12.820500000000001,0.0,13.608833333333331,0.59175363398405,12.121212121212121,0.0,12.681912681912682,1.827276073934194,3.0303030303030303,0.0,3.5343035343035347,1.9054368793995176,0.7883333333333304,0.59175363398405,0.5607005607005604,1.827276073934194,0.5040005040005044,1.9054368793995176
12632,12.632,19.3548,0.0,16.97986666666666,1.1212322031289201,12.903225806451612,0.0,16.584887144259078,3.9971367722112463,3.225806451612903,0.0,4.710500490677134,1.061496940764668,-2.374933333333342,1.1212322031289201,3.6816613378074656,3.9971367722112463,1.4846940390642311,1.061496940764668
13316,13.316,27.500000000000004,0.0,16.41906666666666,0.70592666994053,30.0,0.0,13.828786453433679,1.8506411639610538,3.3333333333333335,0.0,6.020696142991532,0.9911245299014808,-11.080933333333345,0.70592666994053,-16.17121354656632,1.8506411639610538,2.687362809658199,0.9911245299014808
14000,14.0,22.5,0.0,17.86343333333333,1.40523816605347,22.580645161290324,0.0,17.305893358278766,0.8101266639704757,3.225806451612903,0.0,5.051449953227316,1.8402540292709075,-4.6365666666666705,1.40523816605347,-5.274751803011558,0.8101266639704757,1.8256435016144126,1.8402540292709075
