rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
5192,5,647.200000000,40.245496642,597.200000000,38.829112789,598.000000000,37.094473982,46.000000000,9.433981132,4.000000000,2.549509757,46.000000000,9.433981132,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,2.549509757,0.077321142,0.011004983
5358,5,696.000000000,25.739075352,636.400000000,22.097511172,637.800000000,21.695621678,53.400000000,8.049844719,6.200000000,1.643167673,53.400000000,8.049844719,0.000000000,0.000000000,0.000000000,0.000000000,6.200000000,1.643167673,0.085512900,0.011531252
5524,5,709.400000000,30.835044998,638.200000000,34.171625656,639.800000000,36.567745350,64.800000000,8.167006796,6.400000000,1.673320053,64.800000000,8.167006796,0.000000000,0.000000000,0.000000000,0.000000000,6.400000000,1.673320053,0.100641076,0.013134240
5691,5,734.000000000,27.973201461,661.600000000,21.949943052,661.800000000,19.728152473,65.600000000,9.964938535,6.800000000,3.033150178,65.600000000,9.964938535,0.000000000,0.000000000,0.000000000,0.000000000,6.800000000,3.033150178,0.098464203,0.009876417
5857,5,757.800000000,38.473367412,680.600000000,30.907927786,679.200000000,31.180121873,70.400000000,13.903237033,6.800000000,2.387467277,70.400000000,13.903237033,0.000000000,0.000000000,0.000000000,0.000000000,6.800000000,2.387467277,0.101594159,0.015092096
6024,5,764.800000000,31.467443493,690.400000000,21.477895614,687.400000000,23.607202291,67.200000000,14.307340773,7.200000000,3.768288736,67.200000000,14.307340773,0.000000000,0.000000000,0.000000000,0.000000000,7.200000000,3.768288736,0.096963333,0.012167956
6190,5,772.800000000,17.655027613,697.200000000,18.539147769,697.400000000,20.044949489,68.600000000,3.209361307,7.000000000,3.535533906,68.600000000,3.209361307,0.000000000,0.000000000,0.000000000,0.000000000,7.000000000,3.535533906,0.097886034,0.003986614
6356,5,787.200000000,27.833433134,710.200000000,25.440125786,712.400000000,23.158151912,67.800000000,4.868264578,9.200000000,2.167948339,67.800000000,4.868264578,0.000000000,0.000000000,0.000000000,0.000000000,9.200000000,2.167948339,0.097817711,0.005037274
6523,5,856.800000000,28.865203966,760.600000000,14.258330898,760.600000000,14.258330898,86.200000000,14.394443372,10.000000000,2.549509757,86.200000000,14.394443372,0.000000000,0.000000000,0.000000000,0.000000000,10.000000000,2.549509757,0.111910436,0.014439734
6689,5,839.000000000,28.705400189,742.200000000,26.640195194,743.600000000,29.091235794,87.200000000,8.043631021,9.600000000,1.949358869,87.200000000,8.043631021,0.000000000,0.000000000,0.000000000,0.000000000,9.600000000,1.949358869,0.115383070,0.009164122
